,class,tweet
0,2,!!! As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,1,!!!!! boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,1,!!!!!!! Dawg!!!! You ever fuck a bitch and she start to cry? You be confused as shit
3,1,!!!!!!!!! she look like a tranny
4,1,!!!!!!!!!!!!! The shit you hear about me might be true or it might be faker than the bitch who told it to ya ;
5,1,"!!!!!!!!!!!!!!!!!!"" The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! ;;;"""
6,1,"!!!!!!"" I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
7,1,!!!!; cause I'm tired of you big bitches coming for us skinny girls!!;
8,1,""" &amp; you might not get ya bitch back &amp; thats that """
9,1,""" :hobbies include: fighting Mariam"" bitch"
10,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
11,1,""" Murda Gang bitch its Gang Land """
12,1,""" So hoes that smoke are losers ? "" yea ... go on IG"
13,1,""" bad bitches is the only thing that i like """
14,1,""" bitch get up off me """
15,1,""" bitch nigga miss me with it """
16,1,""" bitch plz whatever """
17,1,""" bitch who do you love """
18,1,""" bitches get cut off everyday B """
19,1,""" black bottle &amp; a bad bitch """
20,1,""" broke bitch cant tell me nothing """
21,1,""" cancel that bitch like Nino """
22,1,""" cant you see these hoes wont change """
23,1,""" fuck no that bitch dont even suck dick "" ;;; the Kermit videos bout to fuck IG up"
24,1,""" got ya bitch tip toeing on my hardwood floors "" ; "
25,1,""" her pussy lips like Heaven doors "" ;"
26,1,""" hoe what its hitting for """
27,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" ;"
28,1,""" i need a trippy bitch who fuck on Hennessy """
29,1,""" i spend my money how i want bitch its my business """
30,1,""" i txt my old bitch my new bitch pussy wetter """
31,1,""" i'd say im back to the old me but my old bitches would get excited "" ;"
32,1,""" if you aint bout that Murder Game pussy nigga shut up """
33,1,""" if you're toes ain't done you pussy stinks """
34,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,1,""" is that ya bitch """
36,1,""" it aint nothing to cut a bitch off """
37,1,""" jus meet son now he ya mane ass bitches "" #Shots"
38,1,""" lames crying over hoes thats tears of a clown """
39,1,""" like Snoop said in 94 we dont love these hoes """
40,2,""" momma said no pussy cats inside my doghouse """
41,1,""" most hated but the hoes favorite "" #2MW #SevenOne # "
42,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" "
43,1,""" pimps up pimps up hoes down "" Future voice"
44,1,""" post a picture of that pussy get 200 likes """
45,1,""" pussy is a powerful drug "" ; #HappyHumpDay "
46,1,""" quick piece of pussy call it a drive by """
47,1,""" running round here like some brand new pussy thats bout to get fucked """
48,1,""" these bitches even worst they'll send them guys for you """
49,1,""" these hoes like niggas that spend money not talk bout it """
50,1,""" we dont trust these niggas all these bitches """
51,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,1,""" you dodge a bullet "" ; ; ""All da bitches I cut off pregnant or bound to be ....thank God ;"";"
53,1,""" young Pill Chamberlain these bitches love my music """
54,1,""";;;;;;;;;;; Teanna Trump probably cleaner than most of these twitter hoes but........."""
55,1,""";;;;;;;;;; Gay niggas couldn't wait to act like bitches tonight"""
56,1,""";;; And ima steal his cat n replace it with a pitbull ;;;; He a bitch you should do it"""
57,1,"""&amp; he's gone always be a hoe"""
58,1,"""...Son of a bitch took my Tic Tacs."" I like this movie."
59,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
60,1,""" I probably wouldn;t mind school as much if we didn;t have to deal with bitch ass teachers"". Retweet"
61,1,""" I'm a fucking fag they said"""
62,1,""" Females think dating a pussy is cute now? how does doing this stuff make him a pussy?"
63,2,""" -SimplyAddictedToGuys woof woof hot scally lad"
64,1,""" Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
65,1,""" How u gone bring ur side bitch to a game where You know Ya gf friends at ?! ;;;;"" I SWEAR!!!!!"
66,2,""" woof woof and hot soles"
67,2,""" Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
68,1,""" bitch fuck u maybe you'll get better. Just "
69,1,""" Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
70,2,""" Why the eggplant emoji doe?""y he say she looked like scream lmao"
71,1,""" Hennessey Venom GT ; that's one sexy bitch"
72,1,""" Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
73,1,""" #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
74,1,""" Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life "
75,2,""" baby monkey bathtime Awwwwe! This is soooo ADORABLE!"
76,1,""" ;;;; I ain't shit ."" Damn Skippy lol"
77,1,""" u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
78,1,""" 0 rings 0 mvps 0 bitches lol"
79,1,""" ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
80,1,""" The facts on tattoos...tattoo he's a pussy with not tattooing them nipples"
81,1,""" ;;; Bitches be wanting to act like niggas so bad ;;; that shit aint cuteeeee"" but niggas act like bitches.."
82,1,""" Get worshiping bitch! woof woof"
83,1,""" Wow. I'm lost. Are those buttcheek piercings? yeah she's a hoe"
84,1,""" Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
85,0,""" queer"" gaywad"
86,1,""" faggot read my tweets after dat k"" it wasn't even funny lol"
87,1,""" This bitch was so ungrateful fr ..... LULWHORE"
88,1,""" I been kidnapped yo bitch"""
89,0,""" alsarabsss"" hes a beaner smh you can tell hes a mexican"
90,1,""" happy birthday nigs"" Thanks yo"
91,1,""" when ur teacher tells u that u have homework this bitch need to go!!!"
92,1,""" "" that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. "
93,1,""" What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
94,1,""" Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
95,1,""" Going back to school sucks more dick than the hoes who attend it."""
